case_number,time_reported,time_occured,location_of_occurence,domestic_relationship,incident_type,criminal_offense,disposition
202201790,12/05/2022 10:56:00 am,12/05/2022 10:56:00 am-12/05/2022 10:56:00 am,"499 HITT ST/UNIVERSITY AVE , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202201789,12/05/2022 02:04:00 am,12/05/2022 02:04:00 am-12/05/2022 02:04:00 am,"923 S PROVIDENCE RD , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202201789,12/05/2022 02:04:00 am,12/05/2022 02:04:00 am-12/05/2022 02:04:00 am,"923 S PROVIDENCE RD , COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,TRAFFIC OFFENSE,CLEARED BY ARREST
202201788,12/05/2022 01:09:00 am,12/05/2022 01:09:00 am-12/05/2022 01:09:00 am,"1199 MONK DR/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202201788,12/05/2022 01:09:00 am,12/05/2022 01:09:00 am-12/05/2022 01:09:00 am,"1199 MONK DR/E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202201787,12/05/2022 12:22:04 am,12/05/2022 12:22:03 am-12/05/2022 12:22:04 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202201786,12/04/2022 12:43:00 pm,12/04/2022 12:43:00 pm-12/04/2022 12:43:00 pm,"799 ROLLINS ST/MISSOURI AVE , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202201785,12/04/2022 01:13:00 am,12/04/2022 01:13:00 am-12/04/2022 01:13:00 am,"499 E STEWART RD/S FIFTH ST , COLUMBIA MO, 65201     ",NO  ,DWI,DWI,CLEARED BY ARREST
202201785,12/04/2022 01:13:00 am,12/04/2022 01:13:00 am-12/04/2022 01:13:00 am,"499 E STEWART RD/S FIFTH ST , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202201784,12/03/2022 03:47:00 pm,12/03/2022 03:46:59 pm-12/03/2022 03:47:00 pm,"524 LOT HITT STREET , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202201783,12/03/2022 04:01:30 pm,12/03/2022 04:01:29 pm-12/03/2022 04:01:30 pm,"1299 HOSPITAL DR/S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST
202201783,12/03/2022 04:01:30 pm,12/03/2022 04:01:29 pm-12/03/2022 04:01:30 pm,"1299 HOSPITAL DR/S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST
202201782,12/03/2022 12:27:00 pm,12/03/2022 12:27:00 pm-12/03/2022 12:27:00 pm,"404 KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202201782,12/03/2022 12:27:00 pm,12/03/2022 12:27:00 pm-12/03/2022 12:27:00 pm,"404 KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202201782,12/03/2022 12:27:00 pm,12/03/2022 12:27:00 pm-12/03/2022 12:27:00 pm,"404 KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202201782,12/03/2022 12:27:00 pm,12/03/2022 12:27:00 pm-12/03/2022 12:27:00 pm,"404 KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,FORGERY,CLEARED BY ARREST
202201781,12/02/2022 09:54:00 pm,12/02/2022 09:54:00 pm-12/02/2022 09:54:00 pm,"799 HITT ST/ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202201781,12/02/2022 09:54:00 pm,12/02/2022 09:54:00 pm-12/02/2022 09:54:00 pm,"799 HITT ST/ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202201780,12/02/2022 01:43:00 pm,12/02/2022 01:42:59 pm-12/02/2022 01:43:00 pm,"799 S WILLIAM ST/ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202201779,12/01/2022 06:53:00 pm,12/01/2022 06:52:59 pm-12/01/2022 06:53:00 pm,"599 CONLEY AVE/S SIXTH ST , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202201778,12/01/2022 02:51:00 pm,12/01/2022 02:50:59 pm-12/01/2022 02:51:00 pm,"800 HITT ST , COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM BUILDING,LARCENY - THEFT FROM BUILDING,INACTIVE (MUPD ONLY)
202201777,12/01/2022 02:38:00 pm,12/01/2022 02:34:00 pm-12/01/2022 02:35:00 pm,"901 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202201776,12/01/2022 04:07:00 am,12/01/2022 04:06:59 am-12/01/2022 04:07:00 am,"616 HITT ST , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202201776,12/01/2022 04:07:00 am,12/01/2022 04:06:59 am-12/01/2022 04:07:00 am,"616 HITT ST , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,TRAFFIC OFFENSE,CLEARED BY ARREST
202201775,11/30/2022 08:21:00 pm,11/30/2022 08:21:00 pm-11/30/2022 08:21:00 pm,"1089 ROLLINS ST/HITT ST , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202201774,11/30/2022 02:02:00 pm,11/30/2022 10:35:00 am-11/30/2022 10:35:00 am,"1201 GRINDSTONE PKWY , COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,CLEARED BY ARREST
202201773,12/02/2022 05:40:28 am,11/30/2022 12:36:00 am-11/30/2022 12:40:00 am,"540 HITT ST , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202201773,12/02/2022 05:40:28 am,11/30/2022 12:36:00 am-11/30/2022 12:40:00 am,"540 HITT ST , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202201772,11/29/2022 10:30:00 am,11/28/2022 06:45:00 am-11/28/2022 08:00:00 pm,"1004 TIGER AVE , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202201771,11/29/2022 02:18:00 am,11/29/2022 02:18:00 am-11/29/2022 02:18:00 am,"899 RICHMOND AVE/BURNAM AVE , COLUMBIA MO, 65201     ",NO  ,DWI,FORGERY,CLEARED BY ARREST
202201771,11/29/2022 02:18:00 am,11/29/2022 02:18:00 am-11/29/2022 02:18:00 am,"899 RICHMOND AVE/BURNAM AVE , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202201770,11/28/2022 10:14:00 pm,11/28/2022 10:14:00 pm-11/28/2022 10:14:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202201769,11/28/2022 06:39:00 pm,11/28/2022 06:39:00 pm-11/28/2022 06:39:00 pm,"800 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202201768,11/28/2022 07:23:00 pm,11/28/2022 07:23:00 pm-11/28/2022 07:23:00 pm,"401 S NINTH ST , COLUMBIA MO, 65201     ",NO  ,TRESPASS,TRESPASS,CLEARED BY ARREST
202201767,11/28/2022 04:36:00 pm,11/28/2022 04:36:00 pm-11/28/2022 04:36:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202201766,11/28/2022 02:45:00 pm,11/27/2022 11:30:00 pm-11/27/2022 11:31:00 pm,"903 HITT ST , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),INACTIVE (MUPD ONLY)
202201765,11/28/2022 04:35:00 am,11/28/2022 04:34:59 am-11/28/2022 04:35:00 am,"1531 PROVIDENCE POINT , COLUMBIA MO, 65201     ",NO  ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202201764,11/27/2022 07:48:00 pm,11/27/2022 07:47:59 pm-11/27/2022 07:48:00 pm,"999 E STADIUM BLVD/CHAMPIONS DR , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202201763,11/26/2022 10:12:00 am,11/26/2022 01:10:00 am-11/26/2022 02:00:00 am,"1201 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,ACTIVE
202201762,11/26/2022 08:03:35 am,11/25/2022 05:58:00 pm-11/25/2022 06:00:00 pm,"600 E STADIUM BLVD , COLUMBIA MO, 65201     ",NO  ,TRESPASS,TRESPASS,CLEARED BY ARREST
202201761,11/25/2022 03:55:00 pm,11/25/2022 03:45:00 pm-11/25/2022 03:46:00 pm,"1100 S PROVIDENCE RD , COLUMBIA MO, 65203     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202201761,11/25/2022 03:55:00 pm,11/25/2022 03:45:00 pm-11/25/2022 03:46:00 pm,"1100 S PROVIDENCE RD , COLUMBIA MO, 65203     ",NO  ,LIQUOR LAW,FORGERY,CLEARED BY ARREST
202201760,11/25/2022 03:21:00 pm,11/25/2022 03:20:59 pm-11/25/2022 03:21:00 pm,"1100 S PROVIDENCE RD , COLUMBIA MO, 65203     ",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202201759,11/27/2022 12:00:00 am,11/25/2022 12:00:00 am-11/25/2022 12:00:00 am,"1003 TIGER AVE , COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,EXCEPTIONALLY CLEARED
202201758,11/25/2022 07:25:00 am,11/25/2022 06:30:00 am-11/25/2022 06:45:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,EXCEPTIONALLY CLEARED
202201757,11/24/2022 04:40:00 pm,11/24/2022 04:40:00 pm-11/24/2022 04:40:00 pm,"810 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,ACTIVE
202201756,11/24/2022 12:52:00 am,11/24/2022 12:51:59 am-11/24/2022 12:52:00 am,"1599 S PROVIDENCE RD/MICK DEAVER DR , COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202201755,11/23/2022 09:55:00 pm,11/23/2022 09:55:00 pm-11/23/2022 09:55:00 pm,"3 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,ACTIVE
202201754,11/22/2022 11:28:00 am,11/22/2022 11:15:00 am-11/22/2022 11:28:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202201753,11/21/2022 07:06:03 pm,11/21/2022 07:06:02 pm-11/21/2022 07:06:03 pm,"1133 ASHLAND RD , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,BURGLARY,CLEARED BY ARREST
202201753,11/21/2022 07:06:03 pm,11/21/2022 07:06:02 pm-11/21/2022 07:06:03 pm,"1133 ASHLAND RD , COLUMBIA MO, 65201     ",NO  ,DISTURBANCE - DOMESTIC,BURGLARY,CLEARED BY ARREST
202201753,11/21/2022 07:06:03 pm,11/21/2022 07:06:02 pm-11/21/2022 07:06:03 pm,"1133 ASHLAND RD , COLUMBIA MO, 65201     ",NO  ,BURGLARY,BURGLARY,CLEARED BY ARREST
202201752,11/21/2022 05:25:00 pm,11/21/2022 05:25:00 pm-11/21/2022 05:25:00 pm,"915 LOCUST ST , COLUMBIA MO, 65201     ",YES ,ASSAULT-INTIMIDATION,ASSAULT-INTIMIDATION,EXCEPTIONALLY CLEARED
202201751,11/21/2022 09:54:00 am,11/21/2022 09:50:31 am-11/21/2022 09:50:32 am,"1406 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202201750,11/20/2022 08:38:00 pm,11/20/2022 08:38:00 pm-11/20/2022 08:38:00 pm,"204 S COLLEGE AVE/BASS AVE , COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202201749,11/20/2022 12:54:00 am,11/20/2022 12:53:59 am-11/20/2022 12:54:00 am,"1099 W STADIUM BLVD/S WEST BLVD , COLUMBIA MO, 65203     ",NO  ,DWI,DWI,CLEARED BY ARREST
202201749,11/20/2022 12:54:00 am,11/20/2022 12:53:59 am-11/20/2022 12:54:00 am,"1099 W STADIUM BLVD/S WEST BLVD , COLUMBIA MO, 65203     ",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202201748,11/19/2022 09:18:00 pm,11/19/2022 09:17:59 pm-11/19/2022 09:18:00 pm,"499 S COLLEGE AVE/UNIVERSITY AVE , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,TRAFFIC OFFENSE,CLEARED BY ARREST
202201747,11/19/2022 04:00:00 pm,11/19/2022 04:00:00 pm-11/19/2022 04:00:00 pm,"711 TIGER AVE , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,CLEARED BY ARREST
202201747,11/19/2022 04:00:00 pm,11/19/2022 04:00:00 pm-11/19/2022 04:00:00 pm,"711 TIGER AVE , COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,DRUG - NARCOTIC,CLEARED BY ARREST
202201746,11/19/2022 11:58:00 am,11/19/2022 11:55:00 am-11/19/2022 11:56:00 am,"3 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202201745,11/19/2022 10:19:00 am,11/19/2022 10:19:00 am-11/19/2022 10:19:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,KIDNAPPING,KIDNAPPING,CLEARED BY ARREST
202201744,11/19/2022 08:19:00 am,11/18/2022 08:00:00 pm-11/18/2022 08:00:00 pm,"800 HITT ST , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202201743,11/19/2022 01:32:00 am,11/19/2022 01:18:00 am-11/19/2022 01:18:00 am,"799 MISSOURI AVE/ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,DWI,DWI,CLEARED BY ARREST
202201743,11/19/2022 01:32:00 am,11/19/2022 01:18:00 am-11/19/2022 01:18:00 am,"799 MISSOURI AVE/ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202201742,11/19/2022 12:35:00 am,11/19/2022 12:35:00 am-11/19/2022 12:35:00 am,"901 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,FORGERY,FORGERY,CLEARED BY ARREST
202201742,11/19/2022 12:35:00 am,11/19/2022 12:35:00 am-11/19/2022 12:35:00 am,"901 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,FORGERY,CLEARED BY ARREST
202201742,11/19/2022 12:35:00 am,11/19/2022 12:35:00 am-11/19/2022 12:35:00 am,"901 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,DRUG - PARAPHERNALIA / EQUIPMENT,FORGERY,CLEARED BY ARREST
202201741,11/18/2022 03:38:00 pm,11/18/2022 03:37:59 pm-11/18/2022 03:38:00 pm,"903 HITT ST , COLUMBIA MO, 65201     ",YES ,STALKING,STALKING,EXCEPTIONALLY CLEARED
202201740,11/18/2022 12:47:00 pm,11/17/2022 06:00:00 pm-11/18/2022 10:00:00 am,"1024 ASHLAND RD , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202201739,11/18/2022 03:36:50 pm,11/18/2022 10:50:00 am-11/18/2022 11:00:00 am,"1513 RESEARCH PARK DRIVE , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202201738,11/18/2022 11:45:00 am,11/18/2022 11:40:00 am-11/18/2022 11:45:00 am,"999 S COLLEGE AVE/ASHLAND RD , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202201737,11/18/2022 12:00:00 am,11/18/2022 12:00:00 am-11/18/2022 12:00:00 am,"1100 ROLLINS ST , COLUMBIA MO,           ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202201736,11/18/2022 01:19:00 am,11/18/2022 01:18:59 am-11/18/2022 01:19:00 am,"799 ROLLINS ST/MISSOURI AVE , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202201735,11/17/2022 10:14:00 pm,11/17/2022 04:00:00 pm-11/17/2022 10:00:00 pm,"915 LOCUST ST , COLUMBIA MO, 65201     ",NO  ,EXTORTION/BLACKMAIL,EXTORTION/BLACKMAIL,INACTIVE (MUPD ONLY)
202201734,11/17/2022 09:02:00 pm,11/17/2022 07:14:00 pm-11/17/2022 07:14:00 pm,"905 HITT ST , COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST
202201733,11/17/2022 06:13:00 pm,11/16/2022 10:00:00 am-11/17/2022 04:00:00 pm,"602 S COLLEGE AVE , COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,ACTIVE
202201732,11/17/2022 02:44:00 pm,11/17/2022 01:30:00 pm-11/17/2022 02:40:00 pm,"900 UNIVERSITY AVE/S NINTH ST , COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,INACTIVE (MUPD ONLY)
202201731,11/17/2022 10:55:00 am,11/17/2022 10:45:00 am-11/17/2022 10:50:00 am,"1112 UNIVERSITY AVE , COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202201730,11/17/2022 07:04:00 am,11/17/2022 07:03:59 am-11/17/2022 07:04:00 am,"1089 ROLLINS ST/HITT ST , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
202201729,11/17/2022 12:35:00 am,11/17/2022 12:35:00 am-11/17/2022 12:35:00 am,"1299 ROCK QUARRY RD/FELLOWS PL , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202201728,11/16/2022 03:48:00 pm,11/16/2022 03:47:59 pm-11/16/2022 03:48:00 pm,"711 S COLLEGE AVE/BOUCHELLE AVE , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202201727,11/16/2022 01:00:00 am,11/16/2022 12:59:59 am-11/16/2022 01:00:00 am,"600 MISSOURI AVE/CONLEY AVE , COLUMBIA MO, 65201     ",NO  ,DWI,DWI,CLEARED BY ARREST
202201727,11/16/2022 01:00:00 am,11/16/2022 12:59:59 am-11/16/2022 01:00:00 am,"600 MISSOURI AVE/CONLEY AVE , COLUMBIA MO, 65201     ",NO  ,TRAFFIC OFFENSE,DWI,CLEARED BY ARREST
202201726,11/16/2022 12:50:00 am,11/16/2022 12:30:00 am-11/16/2022 12:30:00 am,"699 ROLLINS ST/TIGER AVE , COLUMBIA MO, 65201     ",NO  ,WARRANT ARREST,WARRANT ARREST,CLEARED BY ARREST
202201725,11/15/2022 12:00:00 am,11/15/2022 12:00:00 am-11/15/2022 12:00:00 am,"809 RICHMOND AVE , COLUMBIA MO, 65201     ", ,DRAWN IN ERROR,DRAWN IN ERROR,CLOSED
202201724,11/15/2022 04:31:00 pm,11/15/2022 04:30:59 pm-11/15/2022 04:31:00 pm,"805 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,SICK/MENTALLY ILL PERSON,SICK/MENTALLY ILL PERSON,CLOSED
202201723,11/15/2022 02:42:00 pm,11/15/2022 02:42:00 pm-11/15/2022 02:42:00 pm,"1133 ASHLAND RD , COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,CLEARED BY ARREST
202201722,11/15/2022 02:50:48 pm,11/15/2022 02:50:47 pm-11/15/2022 02:50:48 pm,"999 E STADIUM BLVD/MONK DR , COLUMBIA MO, 65201     ",NO  ,CRASH INVESTIGATION,CRASH INVESTIGATION,CLOSED
202201721,11/15/2022 12:33:00 pm,11/15/2022 04:38:00 am-11/15/2022 04:38:42 am,"502 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,INACTIVE (MUPD ONLY)
202201720,11/14/2022 01:08:00 pm,11/14/2022 12:00:11 pm-11/14/2022 01:00:00 pm,"900 RICHMOND AVE , COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,INACTIVE (MUPD ONLY)
202201719,11/14/2022 12:00:00 am,11/13/2022 12:00:00 am-01/01/1970 12:00:00 am,"404 KENTUCKY BLVD , COLUMBIA MO,           ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202201718,11/13/2022 12:00:00 am,11/13/2022 12:00:00 am-01/01/1970 12:00:00 am,"400 KENTUCKY BLVD , COLUMBIA MO,           ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202201717,11/13/2022 08:36:00 pm,11/13/2022 08:35:59 pm-11/13/2022 08:36:00 pm,"805 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,DEATH INVESTIGATION-ADULT (BCSD),DEATH INVESTIGATION-ADULT (BCSD),ACTIVE
202201716,11/13/2022 02:54:00 pm,11/13/2022 02:54:00 pm-11/13/2022 02:54:00 pm,"1133 ASHLAND RD , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202201715,11/13/2022 12:48:00 pm,11/12/2022 06:30:00 pm-11/13/2022 11:00:00 am,"220 S TENTH ST , COLUMBIA MO, 65201     ",NO  ,PROPERTY DAMAGE,PROPERTY DAMAGE,INACTIVE (MUPD ONLY)
202201714,11/13/2022 04:47:00 am,11/13/2022 04:45:00 am-11/13/2022 04:45:00 am,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,CLEARED BY ARREST
202201713,11/13/2022 04:34:45 am,11/13/2022 01:22:00 am-11/13/2022 01:22:00 am,"419 S FIFTH ST , COLUMBIA MO, 65201     ",NO  ,LARCENY - OTHER,LARCENY - OTHER,INACTIVE (MUPD ONLY)
202201712,11/13/2022 12:51:00 am,11/13/2022 12:50:59 am-11/13/2022 12:51:00 am,"499 CONLEY AVE/S FIFTH ST , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,EXCEPTIONALLY CLEARED
202201711,11/12/2022 10:22:03 pm,11/12/2022 05:00:00 am-11/12/2022 05:00:00 am,"3209 LEMONE INDUSTRIAL BLVD , COLUMBIA MO, 65201     ",NO  ,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,INACTIVE (MUPD ONLY)
202201710,11/12/2022 02:10:00 am,11/12/2022 02:09:59 am-11/12/2022 02:10:00 am,"904 S COLLEGE AVE , COLUMBIA MO, 65201     ",YES ,DISTURBANCE - DOMESTIC,DISTURBANCE - DOMESTIC,ACTIVE
202201709,11/11/2022 08:45:00 pm,11/11/2022 08:45:00 pm-11/11/2022 08:45:00 pm,"1000 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,DRUG - NARCOTIC,DRUG - NARCOTIC,INACTIVE (MUPD ONLY)
202201708,11/11/2022 01:15:00 pm,11/11/2022 01:10:00 pm-11/11/2022 01:12:00 pm,"3315 BERRYWOOD DR , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),UNFOUNDED
202201707,11/11/2022 10:00:00 am,11/10/2022 07:47:00 pm-11/10/2022 07:50:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,EXPARTE / ORDER OF PROTECTION VIOLATION,EXPARTE / ORDER OF PROTECTION VIOLATION,ACTIVE
202201706,11/09/2022 12:00:00 am,11/08/2022 12:00:00 am-11/09/2022 12:00:00 am,"900 S COLLEGE AVE , COLUMBIA MO,           ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,INACTIVE (MUPD ONLY)
202201705,11/11/2022 07:55:00 am,11/11/2022 05:23:00 am-11/11/2022 07:50:00 am,"603 KENTUCKY BLVD , COLUMBIA MO, 65201     ",NO  ,LARCENY - THEFT FROM MOTOR VEHICLE,LARCENY - THEFT FROM MOTOR VEHICLE,ACTIVE
202201704,11/11/2022 12:44:00 am,11/11/2022 12:30:00 am-11/11/2022 12:30:33 am,"800 VIRGINIA AVE , COLUMBIA MO, 65201     ",NO  ,LIQUOR LAW,LIQUOR LAW,CLEARED BY ARREST
202201703,11/10/2022 08:42:00 pm,11/10/2022 08:41:59 pm-11/10/2022 08:42:00 pm,"701 HITT ST , COLUMBIA MO, 65201     ",NO  ,LEAVING THE SCENE OF ACCIDENT,LEAVING THE SCENE OF ACCIDENT,CLEARED BY ARREST
202201702,11/10/2022 04:46:00 pm,11/09/2022 08:24:00 pm-11/09/2022 08:24:00 pm,"1 HOSPITAL DR , COLUMBIA MO, 65201     ",NO  ,ASSAULT-SIMPLE,ASSAULT-SIMPLE,ACTIVE
202201701,11/10/2022 11:38:17 pm,11/10/2022 04:30:00 pm-11/10/2022 04:30:00 pm,"901 ROLLINS ST , COLUMBIA MO, 65201     ",NO  ,OFFICE INFORMATION (MUPD),OFFICE INFORMATION (MUPD),CLOSED
